,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days,"(12995.0, 43440.0]","(43440.0, 73885.0]","(73885.0, 104330.0]","(104330.0, 134775.0]","(134775.0, 165220.0]","(165220.0, 195665.0]","(195665.0, 226110.0]","(226110.0, 256555.0]","(256555.0, 287000.0]","(18500.0, 61555.556]","(61555.556, 104611.111]","(104611.111, 147666.667]","(147666.667, 190722.222]","(190722.222, 233777.778]","(233777.778, 276833.333]","(276833.333, 319888.889]","(319888.889, 362944.444]","(362944.444, 406000.0]",Екатеринбург,Краснодар,Новосибирск,Самара,Челябинск,Более 6 лет,Нет опыта,От 1 года до 3 лет,От 3 до 6 лет,Вахтовый метод,Гибкий график,Полный день,Сменный график,Удаленная работа,Полная занятость,Проектная работа,Стажировка,Частичная занятость,Без ключевых навыков,Python,Django Framework,Redis,PostgreSQL,HTML,MySQL,Другое
729,729,python,Челябинск,45000.0,50000.0,ДАН,2019-09-23T15:10:56+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Для работы над крупными внутренними проектами компании, в связи с расширением штата требуется Python-разработчик. Наша команда является подразделением туристической компании ДАН и занимается разработкой продуктов в сфере туризма для внутреннего заказчика. Компания ДАН является одним из лидеров в сфере туризма по уральскому федеральному округу, имеет 7 офисов на территории России и Казахстана. Работая в нашей команде, вы получаете свободу для творчества и возможность реализовать свои профессиональные амбиции. Обязательно хорошее знание: Python 3, PosrgreSQL Django, Redis, Celery Django REST framework Будет большим преимуществом опыт работы с: Опыт работы с Elsdticserach многопоточным/асинхронным кодом умение применять на практике паттерны проектирования Активный аккаунт на github К чему быть готовым: Плотная работа в команде по гибким методологиям Работа с таск-трекером (Jira) Необходимость писать тесты на свой код Условия: Оформление по ТК РФ Оплачиваемый отпуск 8-часовой рабочий день Дружный молодой коллектив Уровень заработной платы обговаривается с каждым кандидатом индивидуально.",Без требований,Без обязанностей, Оформление по ТК РФ Оплачиваемый отпуск 8-часовой рабочий день Дружный молодой коллектив Уровень заработной платы обговаривается с каждым кандидатом индивидуально.,Python|Django Framework|Redis,0.9333333333333332,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0
393,393,python,Краснодар,50000.0,90000.0,Черкасов Константин Юрьевич,2019-10-19T13:47:10+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"Компания SeagullWay Inc. из США разрабатывает Web и мобильные SaaS-решения по автоматизации работы организаций Apparel/Fashion индустрии. Мы ищем Python-разработчиков уровней Middle/Senior. Требования: Хорошее знание языка Python; Опыт работы с flask, sqlalchemy, MySQl/PostgreSQL. Дополнительные плюсы: опыт работы с микросервисной архитектурой, опыт работы с rabbitmq; опыт работы с RPC. Необходимые личные качества: ответственность; самостоятельность; самодисциплина; способность к быстрому самообучению. Условия работы: удалённый full-time. Обязательно обладание стабильным доступом в интернет. Стабильная достойная зарплата от 1000$ до 1500$ (по результатам собеседования) + бонус + встречи 1-2 раза в год с командой в разных странах за счет компании.",Без требований,Без обязанностей,Без условий,Python|PostgreSQL|HTML|MySQL|Git|PHP,0.06666666666666668,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0
550,550,python,Челябинск,57500.0,50000.0,ЦИАН ГРУПП,2019-10-21T10:03:37+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"ЦИАН – лидирующий на рынке маркетплейс по недвижимости России (по данным LiveInternet за январь 2018 года). Мы помогаем найти жилье более чем 11 миллионам посетителей ежемесячно. ЦИАН пятый год подряд входит в двадцатку самых дорогих компаний Рунета по версии журнала Forbes. Мы каждый день работаем над тем, чтобы наш сервис был полезен, удобен и надежен для любого сегмента наших пользователей. Поэтому мы ищем амбициозных людей, кто сможет предложить свои идеи и захочет воплотить в жизнь уже существующие. Пару слов о проекте: Мы сейчас движемся от монолитной архитектуры (Python 2.7 &amp; Django) в сторону микросервисов (Python 3 + Tornado). Есть возможность получить опыт работы с асинхронностью, поучаствовать в построении архитектуры микросервисов, решать задачи по повышению производительности. С чем предстоит работать: В микросервисах (б0льшая часть задач): Python 3.6 и Tornado 4 В старой части - монолите - Python 2.7 и Django (его последовательно переводим на SOA архитектуру, где критично - оптимизируем производительность) На серверах Debian. Используем RabbitMQ, Cassandra, ElasticSearch Постоянно совершенствуемый Continuous Delivery . Уважение к unit-тестам. Неизменно: утренние короткие стенд-апы, недельные итерации и еженедельное планирование, код-ревью, еженедельная ретроспектива. Требования : Опыт коммерческой разработки на Python (Django\Tornado и т.д.) от 3 лет; Знание паттернов проектирования; Хорошее знание SQL; Умение писать юнитесты (pytest); Умение оптимизировать производительность приложения и базы данных; Знание Unix/Linux; Общее представление о верстке и js (самому верстать/писать не нужно); Понимать суть задачи и вносить минимальные необходимые изменения (без “переписать всё”). Личные качества: Self-management; Нацеленность на результат; Умение четко и ясно излагать свои мысли; Ответственность; Важна скорость реакции и умение быстро переключать контекст; Умение добиваться поставленных целей в сжатые сроки Работа в ЦИАН - это: Удаленная работа, оформление по ТК 5 day off в год Профессиональный рост (ЛПР, оплачиваемое обучение, посещение конференций, корпоративная библиотека) Мы любим веселиться (2 больших корпоратива в год + квартальные вечеринки в офисе)",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
718,718,python,Челябинск,57500.0,50000.0,Antida software,2019-10-07T11:09:55+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы разыскиваем Python-разработчика для разработки нового IT-продукта. Вам предстоит проектировать и разрабатывать бэкенд, реализовывать интеграции со сторонними сервисами и взаимодействовать с командой фронтенд-разработки. Мы работаем по гибким методологиям, используем самые современные инструменты, а наш workflow максимально автоматизирован, но самое важное то, что у нас развитая культура непрерывного развития разработчиков. Требования к кандидатам: Опыт коммерческой разработки на Python (Django/Tornado/Flask/...); Хорошее знание SQL и понимание плюсов/минусов Django ORM; Умение писать модульные тесты; Опыт работы с MySQL или PostgreSQL; Умение четко и ясно излагать мысли; Умение решать проблемы, используя свои знания, инструменты и контакты. Мы предлагаем следующие условия: Интересные и амбициозные задачи, от которых точно не будет скучно; Комфортный офис в центре города, PlayStation, фрукты, шоколад, напитки и т.д.; Профессиональный рост: корпоративные митапы и хакатоны, а также сильная команда, которая готова делиться знаниями; Оплата занятий по английскому языку с преподавателем; Официальное устройство по ТК. Готовы обсудить ваши пожелания по заработной плате; Гибкий график: начало работы с 8 до 11; Корпоративная библиотека с покупкой книг по вашему желанию.",Без требований,Без обязанностей,Без условий,Python|Django Framework|PostgreSQL|SQL|Английский язык,0.4666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0
734,734,python,Челябинск,57500.0,50000.0,"DSR, Группа Компаний",2019-10-14T14:18:56+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Проектирование и разработка программного обеспечения. Требования: Высшее образование (техническое) Уверенные знания Python (желательно - версии 3.x) Знание базовых технологий разработки ПО (структуры данных, ООП, умение решать алгоритмические задачи) Понимание принципов асинхронного и многопоточного программирования Опыт написания автоматизированных тестов Понимание принципов и опыт реализации REST API Опыт разработки под Linux Способность самостоятельно разрабатывать часть программного продукта и взаимодействовать с другими членами команды Разговорный английский уровня не ниже Intermediate Приветствуется: Опыт разработки бэкэнда на Python (aiohttp) Опыт разработки на JavaScript/TypeScript/Node.js Опыт работы в распределённой команде Опыт работы по Agile Способность и готовность обучаться новому Условия: ВАКАНСИЯ АКТУАЛЬНА ДЛЯ ВОРОНЕЖА И ПОДРАЗУМЕВАЕТ РЕЛОКАЦИЮ Достойная стабильная оплата труда, бонусы Оплата сверхурочной работы Постоянная занятость‚ соцпакет Интересная работа‚ хороший коллектив Перспективы роста"," Высшее образование (техническое) Уверенные знания Python (желательно - версии 3.x) Знание базовых технологий разработки ПО (структуры данных, ООП, умение решать алгоритмические задачи) Понимание принципов асинхронного и многопоточного программирования Опыт написания автоматизированных тестов Понимание принципов и опыт реализации REST API Опыт разработки под Linux Способность самостоятельно разрабатывать часть программного продукта и взаимодействовать с другими членами команды Разговорный английский уровня не ниже Intermediate Приветствуется: Опыт разработки бэкэнда на Python (aiohttp) Опыт разработки на JavaScript/TypeScript/Node.js Опыт работы в распределённой команде Опыт работы по Agile Способность и готовность обучаться новому ", Проектирование и разработка программного обеспечения. ," ВАКАНСИЯ АКТУАЛЬНА ДЛЯ ВОРОНЕЖА И ПОДРАЗУМЕВАЕТ РЕЛОКАЦИЮ Достойная стабильная оплата труда, бонусы Оплата сверхурочной работы Постоянная занятость‚ соцпакет Интересная работа‚ хороший коллектив Перспективы роста",Python|JavaScript|Linux,0.2333333333333333,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1020,1020,python,Самара,60000.0,120000.0,"Разумные решения, НПК",2019-10-02T15:30:43+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: участие в разработке сложного, наукоёмкого ПО; разработка архитектуры приложения; постановка и оценка задач, принятие технических решений; Разработка и реализация алгоритмов поддержки принятия решений и многокритериальной оптимизации; Разработка и реализация поведений агентов, протоколов их переговоров Требования: Python issue-трекеры Опыт backend-разработки Опыт взаимодействия и разработки API Опыт работы с python-фреймворками (django, django-rest-framework) git Юнит-тесты Знания и опыт: Знание основ системной и инженерии Понимание принципов ООП и опыт использования Понимание паттернов проектирования опыт решения интересных архитектурных задач опыт применения популярных асинхронных и веб-фреймворков: Django, Tornado, Asyncio и т.д.; понимание микросервисной архитектуры Будет плюсом: КТН Знание и опыт применения методов оптимизации Владение инструментами моделирования: AnyLogic, Ansys Владение инструментами проектирования: Enterprise Architect, ARIS Владение другими языками (C#, Java, C++) и знание соответствующих платформ О проектах: Работа в команде Smart Engeneering - создание мультиагентного оптимизатора для решения инженерных задач Сложные, наукоемкие, интересные проекты Заказчики: ГазпромНефть, МосКомАрхитектура, РКК &quot;Энергия&quot;",Без требований," участие в разработке сложного, наукоёмкого ПО; разработка архитектуры приложения; постановка и оценка задач, принятие технических решений; Разработка и реализация алгоритмов поддержки принятия решений и многокритериальной оптимизации; Разработка и реализация поведений агентов, протоколов их переговоров ",Без условий,Python|Git|Django Framework,0.6333333333333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
1191,1191,python,Самара,60000.0,120000.0,Открытый код,2019-10-14T10:16:00+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Компания &quot;Открытый код&quot; - это команда квалифицированных специалистов, профессионалов своего дела, ставящие перед собой амбициозные задачи и с блеском справляющиеся с реализацией запланированного. Если Вы инициативны, ориентированы на достижение лучших результатов, готовы искать наиболее эффективное решение любой поставленной задачи и при этом обладаете необходимыми для работы навыками и способностями, мы приглашаем Вас в нашу команду! От Вас: 2+ года опыта разработки Python Знание методов сбора статистики, анализа текстов Опыт работы с нейронными сетями Приветствуется опыт разработки фронтенда (JS, CSS, jQuery, Angular, Vue.js и т. п.) Что мы предлагаем: возможность получения опыта в полном цикле работ по созданию решений от сбора требований заказчика, проектирования архитектуры системы до ввода в эксплуатацию и внедрения конечного продукта; современный стек технологий; удобные рабочие места в современном офисе в центре города с видом на Волгу (офисный центр &quot;Галактика&quot;, ул. Ярмарочная), место и время для отдыха в течение дня; 5-дневная рабочая неделя. Возможен гибкий график работы (в разумных пределах); оформление трудовых отношений по Трудовому кодексу РФ, полный социальный пакет ( корпоративный спорт, культурные мероприятия, занятия английским языком в офисе компании) ; уровень дохода обсуждается в зависимости от компетенции соискателя; интересные, сложные задачи, высокая степень самостоятельности; перспектива карьерного и профессионального роста; работа в дружной команде профессионалов; заслуженные плюшки и ништяки!",Без требований,Без обязанностей,Без условий,Python|Нейронные сети|Big Data|Spark|Hadoop|Machine learning,0.2333333333333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1063,1063,python,Самара,60000.0,120000.0,СМАСС,2019-10-09T07:59:18+0300,От 3 до 6 лет,Полный день,Полная занятость,"Компания SmaSS Technologies Inc (Texas, USA) объявляет об открытии позиции Python/GO Developer в Самарском офисе компании. Основной продукт компании SmaSS - программно-аппаратная реализация &quot;Магазин без кассиров&quot; (аналог &quot;Amazon Go&quot;). Ориентация продукта - компании США и Европы. Обязанности: Создания системы приема и обработки данных; Интеграция с внешними и внутренними сервисами (биллинг). Требования: Знание python; Знание БД PostgreSQL; Знание одного из асинхронных фреймворков (Asyncio, Tornadо) Преимуществом будет: Опыт работы с большими объемами данных; Знание Gо; Понимание микросервисной архитектуры. Умение и понимание Rest (full) API ; Есть опыт интеграции с внешними системами (биллинг) Условия: Обучение технологиям; Уютный офис в географическом центре города; Профессиональная команда; Стабильно развивающаяся кампания; Молодой, дружелюбный и веселый коллектив; Авто/вело парковка; Стабильная и своевременная заработная плата; Вам ни когда не будет с нами скучно."," Знание python; Знание БД PostgreSQL; Знание одного из асинхронных фреймворков (Asyncio, Tornadо) Преимуществом будет: Опыт работы с большими объемами данных; Знание Gо; Понимание микросервисной архитектуры. Умение и понимание Rest (full) API ; Есть опыт интеграции с внешними системами (биллинг) ", Создания системы приема и обработки данных; Интеграция с внешними и внутренними сервисами (биллинг). ," Обучение технологиям; Уютный офис в географическом центре города; Профессиональная команда; Стабильно развивающаяся кампания; Молодой, дружелюбный и веселый коллектив; Авто/вело парковка; Стабильная и своевременная заработная плата; Вам ни когда не будет с нами скучно.",Без ключевых навыков,0.4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
450,450,python,Краснодар,70000.0,110000.0,ЦИАН ГРУПП,2019-10-21T10:03:37+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"ЦИАН - лидирующий на рынке маркетплейс по недвижимости России (по данным LiveInternet за январь 2018 года). Мы помогаем найти жилье более чем 13 миллионам посетителей ежемесячно. ЦИАН пятый год подряд входит в двадцатку самых дорогих компаний Рунета по версии журнала Forbes. Идей становится все больше, и мы знаем, как сделать CIAN.RU самым полезным, надежным и удобным сайтом по поиску недвижимости. Поэтому мы ищем амбициозных людей кто сможет предложить свои идеи и захочет воплотить в жизнь уже существующие. Пару слов о проекте: Мы сейчас движемся от монолитной архитектуры (Python 2.7 &amp; Django) в сторону микросервисов (Python 3 + Tornado). Есть возможность получить опыт работы с асинхронностью, поучаствовать в построении архитектуры микросервисов, решать задачи по повышению производительности. С чем предстоит работать: В микросервисах (б0льшая часть задач): Python 3.6 и Tornado 4 В старой части - монолите - Python 2.7 и Django (его последовательно переводим на SOA архитектуру, где критично - оптимизируем производительность) На серверах Debian. Используем RabbitMQ, Cassandra, ElasticSearch Постоянно совершенствуемый Continuous Delivery . Уважение к unit-тестам. Неизменно: утренние короткие стенд-апы, недельные итерации и еженедельное планирование, код-ревью, еженедельная ретроспектива. Требования : Опыт коммерческой разработки на Python (Django\Tornado и т.д.) от 3 лет; Знание паттернов проектирования; Хорошее знание SQL; Умение писать юнитесты (pytest); Умение оптимизировать производительность приложения и базы данных; Знание Unix/Linux; Общее представление о верстке и js (самому верстать/писать не нужно); Понимать суть задачи и вносить минимальные необходимые изменения (без “переписать всё”). Личные качества: Self-management; Нацеленность на результат; Умение четко и ясно излагать свои мысли; Ответственность; Важна скорость реакции и умение быстро переключать контекст; Умение добиваться поставленных целей в сжатые сроки Работа в ЦИАН - это: Удаленная работа, оформление по ТК 5 day off в год Профессиональный рост (ЛПР, оплачиваемое обучение, посещение конференций, корпоративная библиотека) Мы любим веселиться (2 больших корпоратива в год + квартальные вечеринки в офисе)",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
443,443,python,Краснодар,70000.0,110000.0,"EPAM Systems, Inc.",2019-10-21T10:36:34+0300,От 3 до 6 лет,Полный день,Полная занятость,"Позиция подразумевает возможность работать удаленно или переезд в г. Краснодар. Мы производим программное обеспечение – от начала и до конца. С 1993 года EPAM помогает клиентам придумывать, разрабатывать, проектировать и внедрять программные продукты, которые меняют мир. Чтобы понимать, в чем рынок будет нуждаться завтра, мы следим за трендами и внедряем их в свою работу, постоянно учимся и накапливаем опыт. Учиться в ЕРАМ легко: внутри компании есть тренинги и курсы, унифицированы требования к разным позициям и уровням и есть возможность получать новые профессии прямо на рабочем месте. Чего мы ожидаем от Вас? Уверенные знания Python 2/3; Опыт написания веб-сервисов на Flask / Django / Falcon; Знание JavaScript, HTML, CSS и CI/CD процессов будет плюсом; Понимание GIL, декораторов, magic-методов; Владение устным английским от уровня Intermediate и выше; Мы следим за качеством своих продуктов. Умение поддерживать высокое качество создаваемых продуктов (unit testing, core review) для нас очень важно; Так же мы используем agile методологии (Scrum / Kanban). Если Вы работали с ними, это позволит быстрее влиться в наши процессы. Если у Вас есть опыт менеджмента и управления / лидства командой, опыт решения нетривиальных задач и общения с заказчиками, то мы можем говорить и про lead позиции. Что еще мы предлагаем? Работу с новейшими технологиями и участие в проектах из разных областей (Life Science, E-commerce, биоинформатика, медицина, GameDev, Capital Markets и многие-многие другие); Реализация своего потенциала вне проектов: мы организуем митапы и конференции, на которых выступают наши сотрудники, приглашаем тренеров для спикеров, развиваем профессиональные комьюнити; Участие в программах менторинга для технических специалистов и для менеджеров; Возможность постоянного обучения: предоставляем доступ к 6000+ курсов и тренингов, разработали специальные программы для архитекторов решений и деливери-менеджеров; Возможность поработать в разных офисах ЕРАМ в России и за границей (наши офисы есть в 11 российских городах и более чем в 25 странах).",Без требований,Без обязанностей,Без условий,Python|Agile Project Management|HTML|CSS|Английский язык|Django Framework|Flask,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
